   Moment (kNm),Axial Load (kN)
 1624.547   ,   -4833.090
   1555.674   ,   -3311.101
   1348.563   ,   -2012.393
   1156.199   ,   -972.116
   985.574   ,   -68.717
   824.903   ,   776.940
   656.333   ,   1581.211
   468.590   ,   2343.139
   254.940   ,   3114.853
   -0.000   ,   4049.048
   -259.664   ,   3567.616
   -481.190   ,   2916.029
   -679.153   ,   2318.277
   -863.977   ,   1749.093
   -1044.836   ,   1189.405
   -1223.537   ,   590.077
   -1368.924   ,   -157.660
   -1529.824   ,   -933.193
   -1634.853   ,   -1875.065
   -1462.138   ,   -3605.549
   -1300.588   ,   -5025.855
   -1126.761   ,   -6193.861
   -952.208   ,   -7162.945
   -778.071   ,   -7984.416
   -609.108   ,   -8764.061
   -432.897   ,   -9554.032
   -235.755   ,   -10371.808
   -0.219   ,   -11257.320
   255.306   ,   -10687.015
   475.385   ,   -10017.160
   670.916   ,   -9387.513
   854.085   ,   -8768.951
   1023.344   ,   -8116.581
   1176.895   ,   -7399.828
   1329.771   ,   -6642.664
   1472.356   ,   -5782.581
   1624.548   ,   -4833.091

